fraction	Frame0	Frame1	Frame2	Fract0	Fract1	Fract2
25	0.0351	499048	279707	277026	0.4727	0.2649	0.2624
26	0.05711	326793	496818	894056	0.1903	0.2892	0.5205
27	0.183	711753	4202945	588537	0.1293	0.7637	0.1069
28	0.2614	5145223	1953196	764217	0.6544	0.2484	0.0972
29	0.2268	2585508	1795576	2439307	0.3791	0.2633	0.3576
30	0.1492	2377650	680779	1428581	0.5299	0.1517	0.3184
31	0.06937	596652	197082	1292740	0.286	0.09446	0.6196
32	0.0154	53656	103281	306315	0.1158	0.2229	0.6612
33	0.002091	11333	29461	22101	0.1802	0.4684	0.3514
34	0.0005878	6988	5230	5462	0.3952	0.2958	0.3089
