counts	frames	to_stop
2	1	-14744
1	2	-14743
1	1	-14735
1	2	-14734
2	1	-14732
3	2	-14731
2	0	-14730
1	1	-14729
1	1	-14726
1	2	-14716
3	1	-14711
1	1	-14699
1	2	-14695
2	0	-14688
1	0	-14685
6	1	-14684
3	1	-14681
1	0	-14679
2	2	-14677
1	2	-14674
1	2	-14671
2	0	-14670
5	2	-14668
6	1	-14666
1	1	-14663
1	1	-14660
1	2	-14659
1	1	-14657
2	2	-14656
2	0	-14655
3	1	-14654
3	1	-14651
1	1	-14645
1	1	-14642
1	0	-14640
1	1	-14636
1	1	-14630
1	1	-14627
2	2	-14626
1	2	-14620
2	2	-14617
2	1	-14615
2	2	-14614
2	2	-14605
1	0	-14604
1	1	-14600
1	0	-14598
2	1	-14594
3	2	-14593
3	0	-14592
2	1	-14591
1	1	-14582
2	2	-14581
2	1	-14579
1	2	-14578
2	1	-14576
1	2	-14569
1	1	-14567
2	2	-14566
1	2	-14563
2	1	-14558
1	2	-14557
1	2	-14548
1	1	-14546
1	2	-14542
1	2	-14536
2	1	-14534
1	2	-14533
1	0	-14532
2	1	-14531
1	0	-14529
2	1	-14528
1	2	-14527
4	0	-14526
1	1	-14522
1	1	-14519
2	2	-14518
1	1	-14516
3	2	-14515
1	1	-14510
2	0	-14508
1	2	-14500
1	0	-14490
1	1	-14483
1	0	-14481
1	1	-14480
1	1	-14477
1	0	-14472
1	1	-14471
3	2	-14470
1	1	-14468
1	0	-14466
2	1	-14465
2	0	-14463
1	0	-14457
1	2	-14452
4	1	-14450
1	0	-14442
2	2	-14440
1	0	-14427
4	1	-14420
1	0	-14418
1	2	-14416
1	1	-14414
1	0	-14409
1	1	-14399
3	1	-14396
1	1	-14390
2	1	-14387
1	0	-14385
1	2	-14380
1	2	-14377
1	2	-14374
1	1	-14366
1	2	-14353
1	1	-14333
1	1	-14327
1	1	-14324
1	1	-14318
1	1	-14315
1	2	-14305
1	1	-14303
1	1	-14294
1	1	-14279
1	2	-14278
1	0	-14277
2	1	-14276
2	2	-14272
1	0	-14271
2	1	-14270
1	0	-14265
1	2	-14260
1	0	-14259
1	1	-14255
1	2	-14248
1	0	-14247
1	1	-14231
1	0	-14226
2	0	-14223
4	1	-14216
1	2	-14212
3	1	-14210
2	2	-14206
1	1	-14192
1	2	-14191
1	2	-14188
1	1	-14183
1	1	-14180
1	1	-14177
1	1	-14171
3	2	-14167
1	0	-14148
1	1	-14144
1	0	-14139
1	2	-14134
1	2	-14131
3	1	-14129
1	0	-14127
1	2	-14119
1	0	-14118
2	1	-14117
3	1	-14114
1	2	-14113
3	2	-14110
1	1	-14108
1	0	-14106
1	1	-14105
1	2	-14101
1	0	-14100
1	1	-14099
2	2	-14098
1	1	-14096
1	2	-14092
1	0	-14091
1	1	-14087
1	2	-14086
1	0	-14079
2	1	-14078
1	1	-14069
1	0	-14046
1	2	-14044
1	2	-14035
1	0	-14034
1	1	-14033
1	1	-14027
2	1	-14024
1	1	-14018
1	1	-14012
1	1	-14009
2	2	-14008
1	2	-13999
3	2	-13993
1	2	-13987
1	2	-13984
2	2	-13978
2	1	-13976
5	2	-13972
3	1	-13961
1	2	-13960
1	0	-13959
3	0	-13956
1	1	-13955
1	2	-13951
1	1	-13937
1	2	-13933
2	1	-13931
3	2	-13930
2	2	-13924
1	1	-13922
1	2	-13903
1	2	-13900
