counts	frames	to_start
1	2	-2365
1	0	-2277
1	0	-2241
1	0	-2097
1	1	-2039
1	2	-1996
1	2	-1984
2	1	-1574
1	2	-1567
1	1	-1424
1	1	-1406
1	0	-1389
1	1	-1385
2	1	-1382
3	1	-1370
1	2	-1360
1	1	-1256
1	1	-1244
1	0	-1215
1	1	-1214
1	0	-1212
2	2	-1210
1	2	-1183
1	1	-1175
3	1	-1169
1	2	-1156
1	2	-1141
1	0	-1101
1	2	-1099
1	0	-1098
4	1	-1094
1	1	-1091
1	2	-1090
1	1	-1076
1	2	-1075
1	1	-1052
2	0	-1050
1	2	-1042
1	1	-1031
1	2	-1030
1	1	-1013
1	1	-1010
1	1	-1007
1	2	-1003
1	1	-1001
1	2	-997
1	2	-988
1	0	-984
1	1	-974
2	0	-963
1	0	-957
1	2	-952
1	2	-928
1	1	-926
1	0	-918
1	2	-916
1	1	-911
2	1	-905
1	0	-903
1	0	-900
1	1	-893
1	0	-885
1	2	-883
1	1	-881
2	0	-867
4	1	-866
2	2	-865
1	0	-864
1	0	-855
1	1	-854
3	2	-829
1	1	-827
1	2	-826
1	2	-820
1	1	-818
1	0	-816
1	0	-810
1	1	-803
1	2	-802
1	1	-800
1	0	-798
1	1	-797
1	0	-795
1	1	-794
1	0	-789
1	1	-788
1	2	-787
1	2	-784
2	2	-781
1	1	-773
1	0	-768
1	1	-767
2	0	-762
1	2	-760
1	0	-759
1	0	-756
1	2	-754
1	0	-753
2	2	-751
1	1	-749
2	1	-746
1	2	-745
5	0	-744
4	0	-741
1	1	-740
3	2	-739
2	1	-725
1	0	-723
1	0	-720
1	1	-719
1	2	-718
1	1	-713
1	0	-711
1	2	-703
1	1	-701
2	0	-696
2	2	-691
1	2	-688
1	1	-686
1	2	-685
2	0	-684
1	2	-673
1	1	-671
2	1	-668
1	0	-666
2	1	-662
2	2	-661
1	0	-660
2	0	-657
2	2	-652
2	0	-651
1	1	-650
3	0	-648
2	1	-647
2	2	-646
2	1	-644
1	0	-639
1	2	-637
1	2	-634
1	1	-632
1	0	-630
1	0	-621
1	2	-619
1	0	-618
2	0	-615
2	2	-613
1	0	-612
1	1	-611
2	2	-610
1	1	-608
2	0	-606
1	1	-605
1	1	-599
1	1	-596
3	2	-595
1	1	-587
1	2	-586
1	0	-585
1	2	-583
1	0	-582
1	1	-581
1	0	-579
1	2	-577
3	2	-574
2	0	-573
4	1	-572
1	0	-567
1	1	-566
2	2	-565
4	0	-564
1	1	-560
3	2	-559
1	0	-558
1	1	-557
2	2	-556
3	0	-555
1	2	-553
1	0	-552
1	1	-551
1	0	-549
4	2	-547
3	0	-546
2	1	-545
2	2	-544
1	2	-541
1	1	-539
2	2	-538
1	0	-537
5	1	-536
6	2	-535
2	0	-534
3	1	-533
3	2	-532
5	0	-531
5	1	-530
1	2	-529
2	0	-528
9	1	-527
6	2	-526
1	0	-525
1	1	-524
2	2	-523
1	1	-521
1	2	-520
3	0	-519
2	1	-518
2	2	-517
12	1	-515
1	2	-514
1	0	-513
2	1	-512
6	2	-511
2	1	-509
4	2	-508
1	0	-507
1	1	-506
2	2	-505
2	0	-504
1	2	-502
3	0	-501
3	1	-500
5	0	-498
2	1	-497
3	2	-496
1	0	-495
3	1	-494
2	2	-493
1	0	-492
1	1	-491
2	2	-490
5	0	-489
5	1	-488
2	2	-487
2	0	-486
4	1	-485
4	2	-484
3	0	-483
1	1	-482
2	2	-481
1	0	-480
3	1	-479
4	2	-478
1	0	-477
4	1	-476
1	2	-475
2	1	-473
2	2	-472
4	0	-471
6	1	-470
